ID,Education,Income,Marital_Status,Occupation,Children,Region,Gender
5085,Master's Degree,Low,Married,Senior Manager,0,Central,Female
5086,Bachelor's Degree,Low,Married,Manager,0,East,Female
5087,Bachelor's Degree,Low,Married,Manager,2,Central,Female
5088,High School,Low,Single,Student,0,East,Male
5089,Bachelor's Degree,Low,Married,Manager,3,South,Male
5090,Master's Degree,High,Single,Senior Manager,1,North,Male
5091,Some College,Low,Single,Entry Level,0,East,Female
5092,Bachelor's Degree,Low,Divorced,Manager,1,East,Male
5093,Master's Degree,Low,Married,Senior Manager,2,Central,Male
5094,Bachelor's Degree,Low,Single,Manager,2,Central,Male
5095,Some College,Low,Single,Entry Level,0,East,Male
5096,Bachelor's Degree,Low,Single,Manager,3,North,Female
5097,Bachelor's Degree,Medium,Single,Manager,1,West,Male
5098,Some College,Low,Single,Entry Level,0,West,Male
5099,Master's Degree,Low,Single,Senior Manager,2,East,Male
5100,High School,High,Single,Student,0,North,Male
5101,Bachelor's Degree,Low,Single,Manager,0,North,Female
5102,Master's Degree,High,Divorced,Senior Manager,0,East,Male
5103,Master's Degree,Low,Married,Senior Manager,2,East,Male
5104,Some College,Low,Single,Entry Level,0,North,Female
5105,Bachelor's Degree,Low,Single,Manager,3,East,Male
5106,Master's Degree,Medium,Married,Senior Manager,1,North,Female
5107,Bachelor's Degree,Low,Married,Manager,1,South,Male
5108,Bachelor's Degree,Medium,Single,Manager,3,Central,Male
5109,Bachelor's Degree,Low,Married,Manager,1,North,Male
5110,High School,Low,Single,Student,0,West,Female
5111,High School,Low,Single,Student,0,East,Female
5112,High School,Medium,Single,Student,0,West,Female
5113,Master's Degree,Low,Married,Senior Manager,0,West,Female
5114,Bachelor's Degree,Low,Married,Manager,0,Central,Female
5115,Some College,Medium,Single,Entry Level,0,East,Female
5116,Bachelor's Degree,Low,Married,Manager,1,North,Male
5117,High School,Low,Single,Student,0,Central,Male
5118,Master's Degree,Low,Divorced,Senior Manager,0,East,Male
5119,High School,Low,Single,Student,0,East,Female
5120,High School,Low,Single,Student,0,Central,Male
5121,Master's Degree,Low,Single,Senior Manager,1,West,Female
5122,Bachelor's Degree,Low,Married,Manager,2,Central,Female
5123,Master's Degree,Medium,Married,Senior Manager,0,North,Male
5124,Some College,Low,Single,Entry Level,0,North,Female
5125,Master's Degree,High,Married,Senior Manager,2,North,Male
5126,Some College,Low,Single,Entry Level,0,Central,Male
5127,Master's Degree,Low,Single,Senior Manager,2,North,Female
5128,Bachelor's Degree,Low,Single,Manager,2,East,Female
5129,Bachelor's Degree,High,Married,Manager,1,South,Female
5130,Bachelor's Degree,High,Married,Manager,1,East,Male
5131,Bachelor's Degree,Low,Single,Manager,1,West,Female
5132,Master's Degree,Low,Married,Senior Manager,1,North,Female
5133,Master's Degree,High,Married,Senior Manager,1,West,Male
5134,Master's Degree,Low,Married,Senior Manager,1,South,Female
5135,High School,Low,Single,Student,0,West,Female
5136,Bachelor's Degree,Low,Single,Manager,1,North,Male
5137,High School,Low,Single,Student,0,South,Female
5138,Master's Degree,Low,Single,Senior Manager,0,South,Female
5139,Bachelor's Degree,Low,Married,Manager,1,South,Female
5140,Bachelor's Degree,High,Single,Manager,3,South,Male
5141,Bachelor's Degree,High,Divorced,Manager,3,Central,Male
5142,High School,Medium,Single,Student,0,South,Female
5143,Master's Degree,Low,Single,Senior Manager,1,Central,Male
5144,Master's Degree,Medium,Married,Senior Manager,1,East,Male
5145,Master's Degree,High,Married,Senior Manager,0,West,Female
5146,Bachelor's Degree,Low,Married,Manager,3,West,Male
5147,Master's Degree,Low,Married,Senior Manager,1,North,Female
5148,High School,Medium,Single,Student,0,East,Female
5149,Bachelor's Degree,Medium,Single,Manager,0,South,Female
5150,Bachelor's Degree,Low,Married,Manager,1,South,Male
5151,Bachelor's Degree,Low,Single,Manager,2,East,Male
5152,Some College,Low,Single,Entry Level,0,South,Female
5153,Master's Degree,Low,Married,Senior Manager,1,Central,Male
5154,Master's Degree,Medium,Married,Senior Manager,3,Central,Male
5155,Bachelor's Degree,High,Married,Manager,1,North,Female
5156,Bachelor's Degree,High,Single,Manager,2,West,Male
5157,Master's Degree,High,Married,Senior Manager,1,North,Male
5158,Master's Degree,Low,Divorced,Senior Manager,3,Central,Female
5159,Master's Degree,Medium,Married,Senior Manager,2,Central,Male
5160,Bachelor's Degree,Low,Married,Manager,2,Central,Male
5161,Bachelor's Degree,Low,Divorced,Manager,3,South,Male
5162,Master's Degree,High,Married,Senior Manager,0,East,Male
5163,Master's Degree,Low,Married,Senior Manager,1,North,Female
5164,Master's Degree,Low,Married,Senior Manager,2,Central,Female
5165,Master's Degree,Medium,Married,Senior Manager,2,South,Female
5166,Bachelor's Degree,High,Married,Manager,3,Central,Male
5167,Master's Degree,Low,Married,Senior Manager,0,Central,Male
5168,High School,Low,Single,Student,0,Central,Male
5169,Some College,Low,Single,Entry Level,0,West,Male
5170,Bachelor's Degree,Low,Single,Manager,0,North,Female
5171,Master's Degree,High,Married,Senior Manager,2,West,Male
5172,Some College,Low,Single,Entry Level,0,West,Female
5173,Bachelor's Degree,Medium,Married,Manager,1,Central,Male
5174,Some College,Low,Single,Entry Level,0,South,Female
5175,Master's Degree,Low,Married,Senior Manager,0,North,Female
5176,Bachelor's Degree,Low,Single,Manager,0,West,Male
5177,Bachelor's Degree,Low,Married,Manager,2,North,Female
5178,Master's Degree,Low,Married,Senior Manager,0,East,Male
5179,High School,Low,Single,Student,0,North,Male
5180,Bachelor's Degree,High,Divorced,Manager,2,Central,Male
5181,Bachelor's Degree,Medium,Married,Manager,0,West,Male
5182,Master's Degree,Low,Married,Senior Manager,2,Central,Female
5183,Bachelor's Degree,High,Married,Manager,1,East,Male
5184,Master's Degree,Low,Married,Senior Manager,2,East,Male
5185,Bachelor's Degree,Low,Married,Manager,1,South,Male
5186,Bachelor's Degree,Low,Single,Manager,0,West,Male
5187,Bachelor's Degree,Low,Married,Manager,0,East,Male
5188,Master's Degree,Low,Married,Senior Manager,0,South,Male
5189,Master's Degree,Medium,Married,Senior Manager,0,North,Male
5190,Master's Degree,High,Married,Senior Manager,2,West,Male
5191,Master's Degree,Low,Single,Senior Manager,0,North,Female
5192,Master's Degree,Low,Married,Senior Manager,0,West,Male
5193,Master's Degree,Medium,Single,Senior Manager,3,West,Male
5194,Master's Degree,Low,Single,Senior Manager,3,South,Female
5195,Some College,Low,Single,Entry Level,0,West,Male
5196,High School,Low,Single,Student,0,Central,Female
5197,Bachelor's Degree,Low,Married,Manager,0,Central,Female
5198,Some College,Low,Single,Entry Level,0,West,Male
5199,Master's Degree,High,Married,Senior Manager,1,South,Female
5200,Bachelor's Degree,High,Divorced,Manager,0,North,Male
5201,Bachelor's Degree,Medium,Single,Manager,0,East,Female
5202,Bachelor's Degree,Low,Married,Manager,0,West,Female
5203,Bachelor's Degree,Medium,Single,Manager,0,East,Male
5204,Bachelor's Degree,Low,Married,Manager,0,North,Male
5205,Master's Degree,Low,Married,Senior Manager,0,North,Male
5206,Some College,Medium,Single,Entry Level,0,Central,Female
5207,Bachelor's Degree,Low,Married,Manager,1,East,Female
5208,High School,Low,Single,Student,0,North,Male
5209,Master's Degree,High,Divorced,Senior Manager,1,West,Female
5210,Master's Degree,Low,Married,Senior Manager,0,Central,Male
5211,Master's Degree,Low,Married,Senior Manager,0,East,Male
5212,Master's Degree,Medium,Married,Senior Manager,1,West,Female
5213,Some College,Medium,Single,Entry Level,0,Central,Male
5214,Bachelor's Degree,Medium,Married,Manager,1,North,Female
5215,Master's Degree,Low,Married,Senior Manager,2,East,Female
5216,Bachelor's Degree,Low,Married,Manager,0,North,Female
5217,Some College,Medium,Single,Entry Level,0,East,Female
5218,Some College,Low,Single,Entry Level,0,Central,Male
5219,Bachelor's Degree,Low,Married,Manager,0,Central,Female
5220,High School,Low,Single,Student,0,North,Female
5221,Bachelor's Degree,Low,Divorced,Manager,0,Central,Male
5222,Master's Degree,Medium,Married,Senior Manager,0,West,Female
5223,Bachelor's Degree,Low,Married,Manager,2,East,Male
5224,Some College,Medium,Single,Entry Level,0,East,Female
5225,Master's Degree,Medium,Single,Senior Manager,3,West,Female
5226,Master's Degree,High,Single,Senior Manager,1,Central,Female
5227,Bachelor's Degree,Medium,Married,Manager,3,East,Male
5228,Master's Degree,Medium,Single,Senior Manager,2,North,Female
5229,Master's Degree,High,Divorced,Senior Manager,0,Central,Male
5230,Some College,Low,Single,Entry Level,0,South,Female
5231,High School,High,Single,Student,0,Central,Female
5232,Master's Degree,Medium,Single,Senior Manager,2,North,Female
5233,Bachelor's Degree,Medium,Married,Manager,1,North,Male
5234,Bachelor's Degree,Low,Single,Manager,0,Central,Female
5235,Bachelor's Degree,Medium,Single,Manager,1,West,Male
5236,Bachelor's Degree,Medium,Married,Manager,0,South,Female
5237,Master's Degree,Medium,Single,Senior Manager,1,North,Female
5238,Master's Degree,Low,Single,Senior Manager,0,South,Female
5239,Master's Degree,Low,Single,Senior Manager,2,North,Male
5240,Bachelor's Degree,Low,Married,Manager,0,Central,Female
5241,Master's Degree,Low,Single,Senior Manager,0,East,Male
5242,Bachelor's Degree,Low,Single,Manager,0,East,Male
5243,Bachelor's Degree,High,Married,Manager,0,Central,Female
5244,Master's Degree,Low,Single,Senior Manager,3,North,Female
5245,Master's Degree,Low,Single,Senior Manager,1,West,Female
5246,Master's Degree,Low,Divorced,Senior Manager,1,North,Female
5247,Bachelor's Degree,High,Single,Manager,0,North,Male
5248,Bachelor's Degree,Low,Married,Manager,1,North,Female
5249,Bachelor's Degree,Low,Married,Manager,0,North,Male
5250,Master's Degree,Low,Married,Senior Manager,1,West,Female
5251,Master's Degree,Medium,Single,Senior Manager,1,East,Female
5252,Bachelor's Degree,Medium,Single,Manager,3,Central,Male
5253,Master's Degree,Low,Married,Senior Manager,0,North,Male
5254,Bachelor's Degree,Low,Single,Manager,1,East,Female
5255,High School,High,Single,Student,0,East,Female
5256,Bachelor's Degree,Medium,Single,Manager,0,East,Female
5257,Master's Degree,Medium,Single,Senior Manager,1,Central,Male
5258,Bachelor's Degree,Low,Married,Manager,0,East,Female
5259,Master's Degree,Medium,Married,Senior Manager,1,South,Female
5260,Master's Degree,Low,Single,Senior Manager,1,South,Male
5261,Master's Degree,High,Married,Senior Manager,1,South,Male
5262,High School,Medium,Single,Student,0,East,Male
5263,Bachelor's Degree,Medium,Married,Manager,1,East,Female
5264,Master's Degree,High,Married,Senior Manager,1,Central,Female
5265,Bachelor's Degree,Medium,Married,Manager,0,Central,Female
5266,Master's Degree,Low,Married,Senior Manager,1,West,Female
5267,Master's Degree,Low,Married,Senior Manager,3,East,Female
5268,Master's Degree,High,Married,Senior Manager,0,South,Female
5269,Some College,Low,Single,Entry Level,0,South,Male
5270,Master's Degree,Low,Single,Senior Manager,2,East,Female
5271,Master's Degree,Low,Single,Senior Manager,2,East,Female
5272,Master's Degree,Medium,Married,Senior Manager,1,South,Female
5273,Bachelor's Degree,Low,Single,Manager,2,East,Female
5274,Master's Degree,High,Married,Senior Manager,0,South,Male
5275,Some College,Low,Single,Entry Level,0,Central,Female
5276,Master's Degree,Low,Married,Senior Manager,1,South,Female
5277,Bachelor's Degree,Low,Married,Manager,0,East,Male
5278,Bachelor's Degree,Low,Married,Manager,0,West,Female
5279,Master's Degree,Low,Married,Senior Manager,1,East,Female
5280,Some College,Low,Single,Entry Level,0,South,Female
5281,Bachelor's Degree,Low,Married,Manager,1,South,Male
5282,Master's Degree,Low,Married,Senior Manager,0,West,Female
5283,High School,Low,Single,Student,0,East,Male
5284,Master's Degree,Medium,Single,Senior Manager,1,Central,Female
5285,Bachelor's Degree,High,Married,Manager,1,Central,Male
5286,Bachelor's Degree,Medium,Married,Manager,2,South,Female
5287,Master's Degree,Low,Married,Senior Manager,0,North,Female
5288,Some College,Low,Single,Entry Level,0,West,Male
5289,Master's Degree,Low,Married,Senior Manager,1,North,Male
5290,Master's Degree,Low,Single,Senior Manager,0,West,Female
5291,Master's Degree,High,Married,Senior Manager,1,Central,Female
5292,Bachelor's Degree,Low,Married,Manager,1,West,Male
5293,Bachelor's Degree,Low,Single,Manager,3,East,Female
5294,High School,Medium,Single,Student,0,East,Female
5295,Master's Degree,Medium,Divorced,Senior Manager,2,East,Male
5296,Bachelor's Degree,Low,Single,Manager,1,East,Female
5297,Bachelor's Degree,High,Married,Manager,3,West,Male
5298,Bachelor's Degree,Low,Married,Manager,1,South,Female
5299,Master's Degree,Medium,Married,Senior Manager,0,North,Male
5300,Bachelor's Degree,Low,Single,Manager,3,East,Female
5301,Bachelor's Degree,Medium,Married,Manager,1,West,Male
5302,Bachelor's Degree,Low,Single,Manager,1,South,Female
5303,High School,Low,Single,Student,0,East,Female
5304,Master's Degree,Low,Divorced,Senior Manager,0,East,Male
5305,Master's Degree,Low,Married,Senior Manager,1,West,Male
5306,Master's Degree,Medium,Single,Senior Manager,1,South,Female
5307,Bachelor's Degree,Medium,Divorced,Manager,2,North,Male
5308,Master's Degree,Low,Single,Senior Manager,2,East,Female
5309,High School,High,Single,Student,0,West,Female
5310,Bachelor's Degree,High,Married,Manager,1,Central,Male
5311,High School,Medium,Single,Student,0,East,Female
5312,Master's Degree,Medium,Single,Senior Manager,1,Central,Male
5313,Master's Degree,Low,Single,Senior Manager,3,West,Female
5314,Master's Degree,Low,Single,Senior Manager,0,West,Female
5315,High School,Low,Single,Student,0,South,Female
5316,Master's Degree,Medium,Single,Senior Manager,0,East,Female
5317,Bachelor's Degree,Low,Married,Manager,0,West,Male
5318,Master's Degree,High,Married,Senior Manager,1,East,Female
5319,Bachelor's Degree,Low,Married,Manager,0,Central,Female
5320,Master's Degree,Low,Single,Senior Manager,0,North,Male
5321,Bachelor's Degree,High,Divorced,Manager,1,North,Male
5322,Some College,High,Single,Entry Level,0,East,Female
5323,Master's Degree,Low,Single,Senior Manager,1,South,Female
5324,Bachelor's Degree,Medium,Married,Manager,0,North,Male
5325,Bachelor's Degree,Low,Married,Manager,0,North,Female
5326,High School,Low,Single,Student,0,South,Male
5327,Master's Degree,Low,Married,Senior Manager,0,Central,Male
5328,Master's Degree,High,Married,Senior Manager,0,West,Female
5329,Bachelor's Degree,Low,Married,Manager,0,Central,Female
5330,Bachelor's Degree,High,Single,Manager,2,West,Male
5331,Master's Degree,Low,Single,Senior Manager,1,East,Male
5332,Master's Degree,Low,Married,Senior Manager,0,South,Male
5333,Master's Degree,Low,Married,Senior Manager,2,West,Male
5334,Bachelor's Degree,Low,Single,Manager,1,West,Female
5335,Master's Degree,Low,Married,Senior Manager,0,North,Male
5336,High School,Low,Single,Student,0,South,Female
5337,Bachelor's Degree,High,Single,Manager,1,South,Male
5338,Master's Degree,Low,Divorced,Senior Manager,3,Central,Male
5339,Bachelor's Degree,Low,Married,Manager,0,North,Female
5340,Bachelor's Degree,Low,Married,Manager,1,Central,Female
5341,Some College,Low,Single,Entry Level,0,South,Female
5342,High School,Low,Single,Student,0,West,Female
5343,Bachelor's Degree,Medium,Single,Manager,1,Central,Male
5344,Bachelor's Degree,Low,Single,Manager,1,North,Male
5345,Master's Degree,Low,Married,Senior Manager,0,North,Female
5346,Master's Degree,Low,Single,Senior Manager,0,North,Male
5347,Bachelor's Degree,Low,Married,Manager,3,East,Female
5348,Master's Degree,High,Single,Senior Manager,0,West,Female
5349,Bachelor's Degree,Low,Married,Manager,1,South,Male
5350,Master's Degree,Low,Married,Senior Manager,0,West,Male
5351,Bachelor's Degree,High,Single,Manager,0,Central,Female
5352,Bachelor's Degree,Low,Single,Manager,0,South,Female
5353,Bachelor's Degree,Low,Married,Manager,1,West,Female
5354,Master's Degree,Low,Married,Senior Manager,0,East,Female
5355,Bachelor's Degree,Low,Divorced,Manager,3,Central,Female
5356,High School,Low,Single,Student,0,North,Male
5357,Bachelor's Degree,Low,Married,Manager,0,West,Male
5358,Bachelor's Degree,Low,Married,Manager,1,Central,Female
5359,Master's Degree,Medium,Divorced,Senior Manager,2,Central,Female
5360,Master's Degree,Low,Married,Senior Manager,2,Central,Female
5361,Master's Degree,Low,Married,Senior Manager,2,South,Female
5362,Master's Degree,Low,Married,Senior Manager,0,Central,Male
5363,Master's Degree,High,Divorced,Senior Manager,2,North,Male
5364,Master's Degree,Low,Married,Senior Manager,0,North,Female
5365,Bachelor's Degree,Low,Single,Manager,1,West,Male
5366,Master's Degree,Medium,Single,Senior Manager,3,West,Female
5367,Master's Degree,Low,Married,Senior Manager,0,North,Male
5368,Some College,Low,Single,Entry Level,0,East,Male
5369,Bachelor's Degree,Low,Married,Manager,2,North,Female
5370,Master's Degree,Low,Married,Senior Manager,1,West,Male
5371,Master's Degree,Low,Married,Senior Manager,0,Central,Female
5372,High School,Low,Single,Student,0,West,Female
5373,Some College,Low,Single,Entry Level,0,South,Female
5374,Bachelor's Degree,High,Single,Manager,3,West,Female
5375,Bachelor's Degree,Low,Single,Manager,1,West,Male
5376,Bachelor's Degree,Low,Married,Manager,0,East,Female
5377,Master's Degree,High,Single,Senior Manager,1,West,Male
5378,Master's Degree,Low,Married,Senior Manager,1,Central,Female
5379,Bachelor's Degree,Medium,Single,Manager,2,South,Male
5380,High School,Medium,Single,Student,0,Central,Male
5381,Bachelor's Degree,Low,Single,Manager,1,Central,Female
5382,Some College,Low,Single,Entry Level,0,South,Male
5383,Master's Degree,Low,Married,Senior Manager,3,Central,Male
5384,Some College,High,Single,Entry Level,0,Central,Female
5385,Bachelor's Degree,Low,Married,Manager,1,Central,Male
5386,High School,Low,Single,Student,0,North,Male
5387,High School,Low,Single,Student,0,South,Female
5388,Bachelor's Degree,High,Married,Manager,1,Central,Female
5389,Bachelor's Degree,High,Married,Manager,2,West,Female
5390,Bachelor's Degree,Medium,Single,Manager,0,East,Male
5391,Bachelor's Degree,High,Married,Manager,1,Central,Male
5392,High School,Medium,Single,Student,0,North,Female
5393,Bachelor's Degree,Low,Married,Manager,0,East,Female
5394,Some College,Low,Single,Entry Level,0,North,Female
5395,Master's Degree,Low,Married,Senior Manager,2,Central,Male
5396,Bachelor's Degree,Low,Single,Manager,1,North,Female
5397,Bachelor's Degree,Low,Divorced,Manager,1,Central,Female
5398,High School,Medium,Single,Student,0,Central,Male
5399,Master's Degree,High,Single,Senior Manager,2,North,Male
5400,Some College,Low,Single,Entry Level,0,East,Female
5401,Master's Degree,High,Married,Senior Manager,1,West,Female
5402,Master's Degree,Medium,Married,Senior Manager,2,East,Male
5403,High School,Low,Single,Student,0,North,Male
5404,Some College,Medium,Single,Entry Level,0,North,Female
5405,Master's Degree,Low,Married,Senior Manager,0,Central,Female
5406,Bachelor's Degree,High,Married,Manager,0,Central,Female
5407,Bachelor's Degree,Low,Married,Manager,0,Central,Female
5408,Master's Degree,Low,Single,Senior Manager,3,East,Male
5409,Bachelor's Degree,Low,Single,Manager,0,West,Male
5410,High School,Medium,Single,Student,0,South,Male
5411,Bachelor's Degree,Low,Married,Manager,1,Central,Female
5412,Master's Degree,High,Single,Senior Manager,0,North,Male
5413,Master's Degree,Low,Single,Senior Manager,0,Central,Male
5414,Bachelor's Degree,Low,Single,Manager,1,West,Female
5415,High School,Low,Single,Student,0,South,Female
5416,Bachelor's Degree,High,Divorced,Manager,0,West,Female
5417,High School,Medium,Single,Student,0,East,Female
5418,Master's Degree,Low,Married,Senior Manager,2,South,Female
5419,Master's Degree,Low,Single,Senior Manager,3,Central,Male
5420,Bachelor's Degree,Low,Single,Manager,1,South,Male
5421,Bachelor's Degree,Low,Married,Manager,1,West,Female
5422,Bachelor's Degree,Low,Married,Manager,2,West,Male
5423,Master's Degree,High,Single,Senior Manager,1,South,Female
5424,Master's Degree,Low,Married,Senior Manager,1,South,Male
5425,Bachelor's Degree,Low,Single,Manager,0,North,Male
5426,Master's Degree,Low,Single,Senior Manager,2,South,Male
5427,Bachelor's Degree,High,Divorced,Manager,2,East,Female
5428,Master's Degree,High,Married,Senior Manager,2,Central,Female
5429,Some College,Low,Single,Entry Level,0,South,Male
5430,Bachelor's Degree,Low,Single,Manager,0,Central,Male
5431,High School,Low,Single,Student,0,Central,Female
5432,Bachelor's Degree,Low,Married,Manager,1,North,Male
5433,Master's Degree,High,Single,Senior Manager,1,Central,Female
5434,Master's Degree,Low,Married,Senior Manager,1,South,Male
5435,High School,Low,Single,Student,0,East,Female
5436,Bachelor's Degree,Low,Married,Manager,0,North,Female
5437,Master's Degree,Medium,Single,Senior Manager,1,Central,Female
5438,Master's Degree,Low,Married,Senior Manager,1,East,Female
5439,Master's Degree,Low,Married,Senior Manager,2,West,Male
5440,Bachelor's Degree,Medium,Divorced,Manager,1,North,Female
5441,Bachelor's Degree,High,Single,Manager,0,Central,Female
5442,Master's Degree,Medium,Single,Senior Manager,0,North,Male
5443,Master's Degree,Low,Married,Senior Manager,1,South,Female
5444,High School,Low,Single,Student,0,Central,Male
5445,Bachelor's Degree,Low,Married,Manager,2,South,Female
5446,Master's Degree,Low,Married,Senior Manager,2,East,Female
5447,High School,High,Single,Student,0,West,Female
5448,Master's Degree,High,Single,Senior Manager,1,South,Female
5449,Bachelor's Degree,Low,Single,Manager,2,West,Female
5450,Some College,Low,Single,Entry Level,0,East,Female
5451,High School,Medium,Single,Student,0,South,Female
5452,Some College,Low,Single,Entry Level,0,Central,Female
5453,Bachelor's Degree,Low,Married,Manager,0,North,Female
5454,Master's Degree,Low,Single,Senior Manager,3,South,Female
5455,Bachelor's Degree,Low,Single,Manager,0,South,Female
5456,Bachelor's Degree,High,Married,Manager,1,South,Male
5457,Bachelor's Degree,Low,Single,Manager,2,South,Male
5458,Bachelor's Degree,Low,Single,Manager,0,North,Female
5459,Master's Degree,Medium,Married,Senior Manager,0,North,Female
5460,Bachelor's Degree,Medium,Married,Manager,0,Central,Male
5461,Master's Degree,High,Married,Senior Manager,1,South,Female
5462,Bachelor's Degree,Medium,Divorced,Manager,0,North,Male
5463,Master's Degree,Medium,Married,Senior Manager,3,Central,Female
5464,Master's Degree,Low,Married,Senior Manager,0,East,Female
5465,Master's Degree,Low,Single,Senior Manager,0,East,Female
5466,Bachelor's Degree,Medium,Single,Manager,0,East,Female
5467,Bachelor's Degree,High,Married,Manager,3,South,Female
5468,Bachelor's Degree,Low,Single,Manager,2,West,Female
5469,Some College,Low,Single,Entry Level,0,West,Female
5470,Bachelor's Degree,Low,Married,Manager,2,South,Male
5471,Master's Degree,High,Single,Senior Manager,0,East,Male
5472,Bachelor's Degree,Low,Married,Manager,2,South,Female
5473,Master's Degree,High,Married,Senior Manager,0,South,Female
5474,Bachelor's Degree,Low,Single,Manager,0,East,Male
5475,Bachelor's Degree,High,Single,Manager,2,East,Female
5476,Master's Degree,Low,Single,Senior Manager,3,West,Male
5477,Bachelor's Degree,Low,Married,Manager,2,Central,Male
5478,Bachelor's Degree,High,Married,Manager,3,East,Male
5479,Some College,High,Single,Entry Level,0,East,Male
5480,High School,Low,Single,Student,0,West,Male
5481,Bachelor's Degree,High,Divorced,Manager,2,West,Female
5482,Master's Degree,Low,Single,Senior Manager,0,North,Female
5483,Master's Degree,Medium,Married,Senior Manager,3,South,Female
5484,Bachelor's Degree,High,Married,Manager,2,South,Male
5485,High School,Low,Single,Student,0,North,Female
5486,High School,Low,Single,Student,0,East,Female
5487,Master's Degree,Low,Married,Senior Manager,3,East,Female
5488,Master's Degree,Low,Single,Senior Manager,1,Central,Female
5489,Some College,Low,Single,Entry Level,0,West,Female
5490,Bachelor's Degree,Low,Married,Manager,1,South,Female
5491,Bachelor's Degree,Low,Single,Manager,1,Central,Female
5492,Bachelor's Degree,High,Single,Manager,1,North,Female
5493,Bachelor's Degree,High,Married,Manager,0,Central,Male
5494,Bachelor's Degree,Medium,Married,Manager,0,Central,Male
5495,Some College,Medium,Single,Entry Level,0,South,Female
5496,High School,Low,Single,Student,0,Central,Female
5497,Bachelor's Degree,Low,Single,Manager,2,East,Male
5498,Master's Degree,Medium,Married,Senior Manager,1,South,Male
5499,Master's Degree,Medium,Married,Senior Manager,2,Central,Male
5500,Master's Degree,Low,Married,Senior Manager,1,East,Male
5501,Master's Degree,Low,Single,Senior Manager,3,West,Male
5502,Master's Degree,High,Married,Senior Manager,0,North,Male
5503,Some College,Low,Single,Entry Level,0,South,Female
5504,Master's Degree,Low,Single,Senior Manager,2,East,Female
5505,High School,Medium,Single,Student,0,North,Female
5506,Bachelor's Degree,Low,Divorced,Manager,2,Central,Female
5507,Master's Degree,Low,Single,Senior Manager,3,Central,Female
5508,Bachelor's Degree,Low,Single,Manager,3,East,Male
5509,Some College,Low,Single,Entry Level,0,West,Female
5510,Master's Degree,High,Married,Senior Manager,3,East,Male
5511,Bachelor's Degree,High,Married,Manager,0,South,Male
5512,Bachelor's Degree,Low,Single,Manager,3,Central,Female
5513,High School,Medium,Single,Student,0,East,Male
5514,Master's Degree,Low,Single,Senior Manager,1,North,Female
5515,Master's Degree,Low,Single,Senior Manager,1,North,Male
5516,High School,Low,Single,Student,0,Central,Female
5517,High School,Low,Single,Student,0,North,Male
5518,Some College,Low,Single,Entry Level,0,South,Male
5519,Bachelor's Degree,Low,Married,Manager,1,Central,Male
5520,Bachelor's Degree,Low,Married,Manager,1,Central,Female
5521,Master's Degree,Low,Single,Senior Manager,0,North,Female
5522,High School,Low,Single,Student,0,Central,Female
5523,Master's Degree,Low,Married,Senior Manager,1,East,Female
5524,Bachelor's Degree,Low,Married,Manager,0,West,Male
5525,Master's Degree,Low,Divorced,Senior Manager,1,South,Male
5526,High School,Low,Single,Student,0,East,Male
5527,Master's Degree,Low,Married,Senior Manager,2,East,Female
5528,Some College,Low,Single,Entry Level,0,North,Female
5529,Master's Degree,Low,Single,Senior Manager,1,Central,Male
5530,Master's Degree,High,Single,Senior Manager,3,North,Male
5531,Bachelor's Degree,Low,Married,Manager,0,West,Male
5532,Bachelor's Degree,Low,Married,Manager,0,East,Female
5533,High School,Low,Single,Student,0,Central,Male
5534,Bachelor's Degree,Low,Single,Manager,3,West,Male
5535,Bachelor's Degree,Low,Married,Manager,0,East,Female
5536,Master's Degree,Low,Single,Senior Manager,2,Central,Male
5537,Master's Degree,Low,Single,Senior Manager,3,West,Female
5538,Master's Degree,Low,Married,Senior Manager,3,North,Female
5539,High School,Low,Single,Student,0,West,Male
5540,Some College,Medium,Single,Entry Level,0,East,Female
5541,High School,Low,Single,Student,0,North,Female
5542,High School,Low,Single,Student,0,North,Male
5543,High School,High,Single,Student,0,East,Male
5544,Bachelor's Degree,High,Single,Manager,0,East,Female
5545,Master's Degree,High,Married,Senior Manager,3,North,Male
5546,Master's Degree,Low,Married,Senior Manager,1,West,Female
5547,Bachelor's Degree,Medium,Married,Manager,3,East,Female
5548,Bachelor's Degree,Medium,Married,Manager,1,South,Male
5549,Bachelor's Degree,High,Single,Manager,0,South,Male
5550,Master's Degree,Low,Single,Senior Manager,0,East,Male
5551,Some College,Low,Single,Entry Level,0,West,Male
5552,Bachelor's Degree,High,Single,Manager,0,East,Female
5553,Master's Degree,Low,Married,Senior Manager,2,West,Female
5554,Master's Degree,High,Married,Senior Manager,2,North,Female
5555,Master's Degree,Medium,Married,Senior Manager,2,South,Female
5556,High School,Medium,Single,Student,0,Central,Male
5557,Master's Degree,High,Married,Senior Manager,0,West,Female
5558,Master's Degree,Low,Single,Senior Manager,1,East,Female
5559,Bachelor's Degree,High,Married,Manager,2,West,Male
5560,Bachelor's Degree,High,Married,Manager,0,West,Male
5561,Bachelor's Degree,Medium,Single,Manager,1,East,Male
5562,Some College,Low,Single,Entry Level,0,North,Male
5563,Bachelor's Degree,Low,Single,Manager,2,West,Female
5564,High School,Low,Single,Student,0,South,Female
5565,Master's Degree,High,Divorced,Senior Manager,1,West,Male
5566,Some College,Low,Single,Entry Level,0,North,Male
5567,Bachelor's Degree,High,Married,Manager,1,North,Male
